TRINITY_DN10198_c0_g1	TRINITY_DN10198_c0_g1_i10	TRINITY_DN10198_c0_g1_i10.p1	512	ref|XP_037875026.1|	69.777	739	cytochrome P450 4c3 isoform X1 [Bombyx mori]	XP_035459320.2	79.755	834	XP_035459320.2 cytochrome P450 4d2 isoform X1 [Spodoptera frugiperda]
TRINITY_DN10997_c0_g1	TRINITY_DN10997_c0_g1_i11	TRINITY_DN10997_c0_g1_i11.p1	493	ref|NP_001108343.1|	67.925	684	cytochrome P450 CYP4L6 precursor [Bombyx mori]	XP_050561171.1	88.821	926	XP_050561171.1 cytochrome P450 4d2 [Spodoptera frugiperda]
TRINITY_DN1263_c0_g1	TRINITY_DN1263_c0_g1_i1	TRINITY_DN1263_c0_g1_i1.p1	504	ref|NP_001103833.1|	62.970	666	cytochrome P450 monooxygenase Cyp4M5 [Bombyx mori]	XP_050554737.1	80.677	877	XP_050554737.1 uncharacterized protein LOC126911483 [Spodoptera frugiperda]
TRINITY_DN127_c0_g1	TRINITY_DN127_c0_g1_i3	TRINITY_DN127_c0_g1_i3.p1	553	ref|NP_001135414.1|	56.357	632	cytochrome P450 Cyp6ae21 [Bombyx mori]	XP_050552986.1	68.762	774	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]
TRINITY_DN127_c0_g2	TRINITY_DN127_c0_g2_i1	TRINITY_DN127_c0_g2_i1.p1	544	ref|NP_001135414.1|	56.952	636	cytochrome P450 Cyp6ae21 [Bombyx mori]	XP_050552986.1	68.431	771	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]
TRINITY_DN127_c0_g4	TRINITY_DN127_c0_g4_i1	TRINITY_DN127_c0_g4_i1.p1	318	ref|XP_012552063.3|	57.051	397	LOW QUALITY PROTEIN: cytochrome P450 6B2 [Bombyx mori]	XP_050552986.1	69.872	477	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]
TRINITY_DN127_c0_g5	TRINITY_DN127_c0_g5_i1	TRINITY_DN127_c0_g5_i1.p1	453	ref|NP_001135414.1|	59.375	569	cytochrome P450 Cyp6ae21 [Bombyx mori]	XP_050552986.1	71.812	704	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]
TRINITY_DN12904_c0_g1	TRINITY_DN12904_c0_g1_i1	TRINITY_DN12904_c0_g1_i1.p1	475	ref|NP_001104826.1|	43.404	424	cytochrome P450 Cyp6AU1 [Bombyx mori]	XP_035447638.2	68.644	709	XP_035447638.2 cytochrome P450 6B6 [Spodoptera frugiperda]
TRINITY_DN1316_c0_g1	TRINITY_DN1316_c0_g1_i11	TRINITY_DN1316_c0_g1_i11.p1	516	ref|NP_001266295.1|	68.932	752	cytochrome P450 9e2-like [Bombyx mori]	XP_050559013.1	76.908	845	XP_050559013.1 cytochrome P450 9e2 [Spodoptera frugiperda]
TRINITY_DN14631_c0_g1	TRINITY_DN14631_c0_g1_i1	TRINITY_DN14631_c0_g1_i1.p1	496	ref|NP_001266314.1|	35.000	320	cytochrome P450 6B1-like [Bombyx mori]	XP_035430624.2	69.168	708	XP_035430624.2 cytochrome P450 6B6-like [Spodoptera frugiperda]
TRINITY_DN147_c0_g1	TRINITY_DN147_c0_g1_i11	TRINITY_DN147_c0_g1_i11.p1	514	ref|XP_012545238.2|	63.086	702	cytochrome P450 6B2 [Bombyx mori]	XP_035455539.2	80.876	860	XP_035455539.2 cytochrome P450 6B7-like [Spodoptera frugiperda]
TRINITY_DN159_c0_g1	TRINITY_DN159_c0_g1_i11	TRINITY_DN159_c0_g1_i11.p1	406	ref|XP_021208040.1|	31.429	183	probable cytochrome P450 303a1 [Bombyx mori]	XP_050562229.1	80.597	708	XP_050562229.1 probable cytochrome P450 304a1 [Spodoptera frugiperda]
TRINITY_DN1632_c1_g1	TRINITY_DN1632_c1_g1_i1	TRINITY_DN1632_c1_g1_i1.p1	502	ref|NP_001103833.1|	64.741	682	cytochrome P450 monooxygenase Cyp4M5 [Bombyx mori]	XP_035442125.2	81.637	866	XP_035442125.2 cytochrome P450 4C1 [Spodoptera frugiperda]
TRINITY_DN1632_c1_g2	TRINITY_DN1632_c1_g2_i1	TRINITY_DN1632_c1_g2_i1.p1	515	ref|NP_001103833.1|	61.508	663	cytochrome P450 monooxygenase Cyp4M5 [Bombyx mori]	XP_050554737.1	77.479	788	XP_050554737.1 uncharacterized protein LOC126911483 [Spodoptera frugiperda]
