TRINITY_DN52336_c0_g1	TRINITY_DN52336_c0_g1_i1
TRINITY_DN56789_c0_g1	TRINITY_DN56789_c0_g1_i1
TRINITY_DN2810_c0_g1	TRINITY_DN2810_c0_g1_i1
TRINITY_DN2810_c0_g1	TRINITY_DN2810_c0_g1_i10
TRINITY_DN2810_c0_g1	TRINITY_DN2810_c0_g1_i12
TRINITY_DN2810_c0_g1	TRINITY_DN2810_c0_g1_i6
TRINITY_DN2810_c0_g1	TRINITY_DN2810_c0_g1_i8
TRINITY_DN30540_c0_g1	TRINITY_DN30540_c0_g1_i1
TRINITY_DN17545_c0_g1	TRINITY_DN17545_c0_g1_i1
TRINITY_DN17545_c0_g1	TRINITY_DN17545_c0_g1_i2
TRINITY_DN32616_c0_g1	TRINITY_DN32616_c0_g1_i1
TRINITY_DN32616_c0_g1	TRINITY_DN32616_c0_g1_i2
TRINITY_DN414_c0_g1	TRINITY_DN414_c0_g1_i1
TRINITY_DN414_c0_g1	TRINITY_DN414_c0_g1_i2
TRINITY_DN414_c0_g1	TRINITY_DN414_c0_g1_i5
TRINITY_DN414_c0_g2	TRINITY_DN414_c0_g2_i1
TRINITY_DN414_c0_g2	TRINITY_DN414_c0_g2_i2
TRINITY_DN414_c0_g2	TRINITY_DN414_c0_g2_i3
TRINITY_DN414_c0_g2	TRINITY_DN414_c0_g2_i4
TRINITY_DN420_c0_g1	TRINITY_DN420_c0_g1_i1
TRINITY_DN420_c0_g1	TRINITY_DN420_c0_g1_i10
TRINITY_DN420_c0_g1	TRINITY_DN420_c0_g1_i3
TRINITY_DN420_c0_g1	TRINITY_DN420_c0_g1_i5
TRINITY_DN420_c0_g1	TRINITY_DN420_c0_g1_i6
TRINITY_DN420_c0_g1	TRINITY_DN420_c0_g1_i8
TRINITY_DN420_c0_g1	TRINITY_DN420_c0_g1_i9
TRINITY_DN6341_c0_g1	TRINITY_DN6341_c0_g1_i1
TRINITY_DN6341_c0_g1	TRINITY_DN6341_c0_g1_i2
TRINITY_DN6341_c1_g1	TRINITY_DN6341_c1_g1_i1
TRINITY_DN6330_c0_g1	TRINITY_DN6330_c0_g1_i1
TRINITY_DN1031_c0_g1	TRINITY_DN1031_c0_g1_i1
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i10
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i11
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i14
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i15
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i3
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i5
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i7
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i9
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i1
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i11
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i12
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i2
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i3
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i5
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i6
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i7
TRINITY_DN6927_c0_g1	TRINITY_DN6927_c0_g1_i10
TRINITY_DN6927_c0_g1	TRINITY_DN6927_c0_g1_i12
TRINITY_DN6927_c0_g1	TRINITY_DN6927_c0_g1_i13
TRINITY_DN6927_c0_g1	TRINITY_DN6927_c0_g1_i16
TRINITY_DN6927_c0_g1	TRINITY_DN6927_c0_g1_i17
TRINITY_DN2768_c0_g1	TRINITY_DN2768_c0_g1_i1
TRINITY_DN2768_c0_g1	TRINITY_DN2768_c0_g1_i2
TRINITY_DN2768_c0_g1	TRINITY_DN2768_c0_g1_i3
TRINITY_DN2768_c0_g1	TRINITY_DN2768_c0_g1_i4
TRINITY_DN2768_c0_g1	TRINITY_DN2768_c0_g1_i5
TRINITY_DN2768_c0_g1	TRINITY_DN2768_c0_g1_i6
TRINITY_DN2768_c0_g1	TRINITY_DN2768_c0_g1_i7
TRINITY_DN5504_c1_g2	TRINITY_DN5504_c1_g2_i1
TRINITY_DN5504_c1_g2	TRINITY_DN5504_c1_g2_i2
TRINITY_DN4939_c0_g1	TRINITY_DN4939_c0_g1_i10
TRINITY_DN4939_c0_g1	TRINITY_DN4939_c0_g1_i12
TRINITY_DN4939_c0_g1	TRINITY_DN4939_c0_g1_i2
TRINITY_DN4939_c0_g1	TRINITY_DN4939_c0_g1_i8
TRINITY_DN4939_c0_g1	TRINITY_DN4939_c0_g1_i9
TRINITY_DN11873_c0_g1	TRINITY_DN11873_c0_g1_i1
