TRINITY_DN4629_c0_g1_i1.p1	sp|Q9VG98|GSTD2_DROME	37.7	212	234	215	3	209	1	204	4.84e-39	137	sp|Q9VG98|GSTD2_DROME Glutathione S-transferase D2 OS=Drosophila melanogaster OX=7227 GN=GstD2 PE=1 SV=1
TRINITY_DN4629_c0_g1_i1.p1	sp|P67805|GSTT1_DROSI	38.9	190	234	209	6	195	5	192	3.24e-38	135	sp|P67805|GSTT1_DROSI Glutathione S-transferase 1-1 OS=Drosophila simulans OX=7240 GN=GstD1 PE=2 SV=2
TRINITY_DN4629_c0_g1_i1.p1	sp|P30108|GSTT1_DROYA	38.9	190	234	209	6	195	5	192	3.24e-38	135	sp|P30108|GSTT1_DROYA Glutathione S-transferase 1-1 OS=Drosophila yakuba OX=7245 GN=GstD1 PE=3 SV=2
TRINITY_DN4629_c0_g1_i1.p1	sp|P30106|GSTT1_DROSE	38.9	190	234	209	6	195	5	192	4.57e-38	134	sp|P30106|GSTT1_DROSE Glutathione S-transferase 1-1 OS=Drosophila sechellia OX=7238 GN=GstD1 PE=3 SV=2
TRINITY_DN4629_c0_g1_i1.p1	sp|P28338|GSTT1_MUSDO	38.9	193	234	208	3	195	1	191	1.25e-37	133	sp|P28338|GSTT1_MUSDO Glutathione S-transferase 1 OS=Musca domestica OX=7370 GN=Gst1 PE=1 SV=1
TRINITY_DN4629_c0_g1_i1.p1	sp|P20432|GSTD1_DROME	37.1	194	234	209	2	195	1	192	1.81e-37	133	sp|P20432|GSTD1_DROME Glutathione S-transferase D1 OS=Drosophila melanogaster OX=7227 GN=GstD1 PE=1 SV=1
TRINITY_DN4629_c0_g1_i1.p1	sp|P42860|GSTT1_LUCCU	38.9	193	234	208	3	195	1	191	2.49e-37	132	sp|P42860|GSTT1_LUCCU Glutathione S-transferase 1-1 OS=Lucilia cuprina OX=7375 GN=GST1 PE=1 SV=2
TRINITY_DN4629_c0_g1_i1.p1	sp|P67804|GSTT1_DROMA	39.7	189	234	200	14	199	2	187	7.90e-37	131	sp|P67804|GSTT1_DROMA Glutathione S-transferase 1-1 (Fragment) OS=Drosophila mauritiana OX=7226 GN=GstD1 PE=3 SV=1
TRINITY_DN4629_c0_g1_i1.p1	sp|Q93112|GST1C_ANOGA	35.3	207	234	209	3	209	1	204	1.01e-36	131	sp|Q93112|GST1C_ANOGA Glutathione S-transferase 1, isoform C OS=Anopheles gambiae OX=7165 GN=GstD1 PE=1 SV=2
TRINITY_DN4629_c0_g1_i1.p1	sp|P30107|GSTT1_DROTE	39.5	185	234	200	14	195	2	184	1.12e-36	130	sp|P30107|GSTT1_DROTE Glutathione S-transferase 1-1 (Fragment) OS=Drosophila teissieri OX=7243 GN=GstD1 PE=3 SV=1
TRINITY_DN885_c0_g1_i2.p1	sp|P46430|GSTT1_MANSE	41.1	219	224	217	8	223	1	216	1.60e-49	164	sp|P46430|GSTT1_MANSE Glutathione S-transferase 1 OS=Manduca sexta OX=7130 GN=GST1 PE=2 SV=1
