GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Pfam_IDs	InterPro_IDs	InterPro_Descriptions	GO_Terms
TRINITY_DN127_c0_g1	6687.71659031621	2.77354797878966	0.537126555148363	5.16367688807261	2.42145537660183e-07	5.73473733718984e-05	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN3752_c0_g1	1715.28300218927	-1.77925938679531	0.450004805920203	-3.95386752183002	7.68979976078605e-05	0.00658107044982181	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN9010_c0_g1	160.002139752127	6.63249577242858	1.76750336907487	3.75246570302159	0.000175103793726631	0.0119451240155254	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN414_c0_g1	1628.05836761702	0.855100313212079	0.246140551554014	3.47403265253687	0.000512698638350465	0.0271154212439959	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN1840_c0_g2	4377.63888883993	1.55059592201693	0.5166443623313	3.00128296188125	0.00268844613751941	0.0862317953615254	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN420_c0_g1	23304.4056317029	0.846614763721769	0.29905889305352	2.83092990506809	0.00464128912552237	0.124481754494779	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN241_c0_g2	2364.48002833482	-2.06352921358891	0.762089482783221	-2.70772561517673	0.00677460063485387	0.157570446579901	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN1263_c0_g1	82.6127486967038	-1.36139490513273	0.518750454814129	-2.62437341981806	0.00868085528552729	0.183334989698158	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN10198_c0_g1	109.951717267149	-1.22626821312269	0.473338263106899	-2.59068051053744	0.00957863718967979	0.194653622242084	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN6330_c0_g1	52.2509069006228	-2.01653827171002	0.800967724243183	-2.51762737832589	0.0118148239939677	0.219161243001191	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
