TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN10214_c0_g1_i1.p1	100.000	551	551	551	0.0	1142
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN22_c2_g1_i1.p1	69.369	555	551	557	0.0	810
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN1194_c0_g1_i10.p1	34.758	538	551	736	3.80e-103	318
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN2312_c0_g1_i11.p1	33.012	518	551	536	2.95e-78	248
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN9322_c0_g2_i1.p1	31.743	545	551	543	3.13e-71	229
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN5285_c0_g1_i1.p1	29.715	562	551	584	3.32e-71	230
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN22_c1_g1_i12.p1	32.689	517	551	494	6.27e-71	227
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN604_c0_g1_i10.p1	32.110	545	551	548	5.90e-70	226
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN1740_c0_g3_i1.p1	30.577	520	551	539	1.10e-66	217
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN256_c0_g1_i8.p1	28.676	544	551	642	2.72e-63	210
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN3016_c0_g1_i1.p1	29.211	558	551	587	2.46e-62	206
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN665_c0_g1_i12.p1	29.026	534	551	584	6.48e-62	205
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN69_c0_g1_i5.p1	28.957	556	551	584	1.45e-53	182
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN13111_c1_g1_i1.p1	29.356	528	551	529	1.17e-52	179
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN920_c0_g1_i14.p1	27.639	521	551	620	5.88e-52	178
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN25123_c0_g1_i1.p1	33.846	325	551	427	8.83e-49	166
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN552_c0_g1_i15.p1	29.676	401	551	394	1.76e-47	161
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN235_c0_g1_i1.p1	30.745	322	551	331	9.96e-47	157
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN5029_c0_g1_i1.p1	25.919	571	551	592	4.27e-46	162
