TRINITY_DN1282_c1_g2_i1.p1	TRINITY_DN1282_c1_g2_i1.p1	100.000	328	328	328	0.0	677
TRINITY_DN1282_c1_g2_i1.p1	TRINITY_DN1884_c0_g1_i17.p1	43.202	331	328	343	7.39e-101	291
TRINITY_DN1282_c1_g2_i1.p1	TRINITY_DN13428_c0_g1_i1.p1	42.042	333	328	344	2.80e-91	266
TRINITY_DN1282_c1_g2_i1.p1	TRINITY_DN260_c1_g1_i12.p1	42.899	345	328	354	2.33e-88	259
TRINITY_DN1282_c1_g2_i1.p1	TRINITY_DN13428_c0_g2_i1.p1	42.388	335	328	345	1.86e-87	256
TRINITY_DN1282_c1_g2_i1.p1	TRINITY_DN18563_c0_g1_i1.p1	45.045	222	328	228	3.05e-58	178
TRINITY_DN1282_c1_g2_i1.p1	TRINITY_DN5949_c0_g1_i3.p1	40.462	173	328	178	3.62e-35	116
TRINITY_DN1282_c1_g2_i1.p1	TRINITY_DN659_c1_g1_i4.p1	45.055	91	328	154	3.14e-18	70.5
TRINITY_DN13428_c0_g1_i1.p1	TRINITY_DN13428_c0_g1_i1.p1	100.000	344	344	344	0.0	711
TRINITY_DN13428_c0_g1_i1.p1	TRINITY_DN13428_c0_g2_i1.p1	62.099	343	344	345	3.45e-159	440
TRINITY_DN13428_c0_g1_i1.p1	TRINITY_DN260_c1_g1_i12.p1	53.823	327	344	354	9.39e-120	340
TRINITY_DN13428_c0_g1_i1.p1	TRINITY_DN1884_c0_g1_i17.p1	37.425	334	344	343	1.41e-85	252
TRINITY_DN13428_c0_g1_i1.p1	TRINITY_DN1282_c1_g2_i1.p1	42.042	333	344	328	5.15e-82	243
TRINITY_DN13428_c0_g1_i1.p1	TRINITY_DN18563_c0_g1_i1.p1	53.017	232	344	228	1.39e-78	230
TRINITY_DN13428_c0_g1_i1.p1	TRINITY_DN5949_c0_g1_i3.p1	45.810	179	344	178	1.25e-44	141
TRINITY_DN13428_c0_g1_i1.p1	TRINITY_DN659_c1_g1_i4.p1	59.341	91	344	154	2.83e-34	114
TRINITY_DN13428_c0_g2_i1.p1	TRINITY_DN13428_c0_g2_i1.p1	100.000	345	345	345	0.0	720
TRINITY_DN13428_c0_g2_i1.p1	TRINITY_DN13428_c0_g1_i1.p1	62.099	343	345	344	1.36e-167	461
TRINITY_DN13428_c0_g2_i1.p1	TRINITY_DN260_c1_g1_i12.p1	58.769	325	345	354	1.02e-140	393
TRINITY_DN13428_c0_g2_i1.p1	TRINITY_DN1884_c0_g1_i17.p1	43.068	339	345	343	7.88e-99	286
