TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN11717_c0_g2	541
TRINITY_DN1689_c0_g1_i2.p1	TRINITY_DN1689_c0_g1	519
TRINITY_DN1689_c0_g2_i1.p1	TRINITY_DN1689_c0_g2	475
TRINITY_DN1689_c1_g1_i4.p1	TRINITY_DN1689_c1_g1	518
TRINITY_DN17113_c0_g1_i16.p1	TRINITY_DN17113_c0_g1	511
TRINITY_DN18424_c0_g1_i1.p1	TRINITY_DN18424_c0_g1	522
TRINITY_DN2328_c0_g1_i1.p1	TRINITY_DN2328_c0_g1	528
TRINITY_DN2332_c0_g1_i2.p1	TRINITY_DN2332_c0_g1	545
TRINITY_DN243_c0_g1_i5.p1	TRINITY_DN243_c0_g1	518
TRINITY_DN3269_c0_g1_i2.p1	TRINITY_DN3269_c0_g1	523
TRINITY_DN5199_c0_g1_i1.p1	TRINITY_DN5199_c0_g1	526
TRINITY_DN654_c0_g1_i2.p1	TRINITY_DN654_c0_g1	519
TRINITY_DN6816_c0_g1_i13.p1	TRINITY_DN6816_c0_g1	519
