TRINITY_DN7610_c0_g1_i3.p1	Bmori|XP_004923500.1	31.737	167	107	4	144	309	553	69	229	503	5.67e-09	50.4
TRINITY_DN7610_c0_g1_i3.p1	Bmori|XP_004923500.1	22.798	193	124	7	365	550	553	51	225	503	0.15	26.6
TRINITY_DN7610_c0_g1_i3.p1	Spodoptera|XP_035456846.2	26.829	164	115	4	146	307	553	71	231	504	3.14e-07	44.7
TRINITY_DN4688_c0_g1_i16.p1	Spodoptera|XP_050550361.1	22.857	105	64	3	314	412	479	138	231	516	0.027	28.9
TRINITY_DN304_c0_g1_i2.p1	Spodoptera|XP_035444053.2	23.684	76	48	1	128	193	318	225	300	493	0.29	24.6
TRINITY_DN304_c0_g1_i2.p1	Bmori|XP_004932409.1	43.750	16	9	0	130	145	318	204	219	468	0.86	23.1
TRINITY_DN56166_c0_g1_i1.p1	Spodoptera|XP_035440285.2	46.154	26	14	0	114	139	159	109	134	521	0.70	22.3
TRINITY_DN15695_c1_g1_i1.p1	Bmori|NP_001037040.1	24.561	57	42	1	584	639	672	273	329	520	0.24	26.2
TRINITY_DN14240_c0_g4_i2.p1	Bmori|XP_021203793.2	23.457	81	59	2	294	373	873	324	402	447	0.82	25.0
TRINITY_DN13585_c0_g2_i1.p1	Spodoptera|XP_035435090.1	35.556	45	29	0	145	189	232	76	120	286	0.020	27.7
TRINITY_DN2425_c1_g1_i1.p1	Bmori|NP_001243973.1	33.333	24	16	0	19	42	112	385	408	536	0.73	21.6
TRINITY_DN11038_c0_g1_i6.p1	Bmori|NP_001243995.1	35.714	28	18	0	258	285	447	242	269	520	0.28	25.4
TRINITY_DN11038_c0_g1_i6.p1	Bmori|NP_001040425.1	35.714	28	18	0	258	285	447	242	269	520	0.30	25.4
TRINITY_DN11038_c0_g1_i6.p1	Bmori|NP_001243978.1	35.714	28	18	0	258	285	447	243	270	521	0.43	24.6
TRINITY_DN11038_c0_g1_i6.p1	Bmori|NP_001135960.1	36.000	25	16	0	261	285	447	240	264	514	0.60	24.3
TRINITY_DN5900_c0_g1_i1.p1	Bmori|XP_062529502.1	28.000	50	32	1	68	113	506	96	145	538	0.32	25.4
TRINITY_DN56723_c0_g1_i1.p1	Bmori|NP_001243980.1	35.294	34	22	0	156	189	254	336	369	520	0.020	28.1
TRINITY_DN56723_c0_g1_i1.p1	Spodoptera|XP_035440285.2	29.032	31	22	0	159	189	254	341	371	521	0.29	24.3
TRINITY_DN56723_c0_g1_i1.p1	Spodoptera|XP_035454584.2	25.000	64	45	1	124	184	254	298	361	518	0.89	22.7
TRINITY_DN56723_c0_g1_i1.p1	Spodoptera|XP_035454642.2	29.412	34	24	0	151	184	254	328	361	518	1.00	22.7
TRINITY_DN5203_c0_g1_i1.p1	Spodoptera|XP_050553385.1	27.536	69	43	4	302	364	476	715	782	1346	0.93	23.9
TRINITY_DN39643_c0_g2_i1.p1	Bmori|NP_001243956.1	24.490	147	85	4	260	389	400	285	422	515	0.018	28.9
TRINITY_DN583_c0_g1_i1.p1	Bmori|XP_037874115.1	26.966	89	46	3	31	105	141	199	282	479	0.34	22.7
TRINITY_DN1110_c0_g2_i1.p1	Spodoptera|XP_035444053.2	25.610	82	53	2	384	458	461	146	226	493	0.12	26.6
TRINITY_DN7866_c0_g2_i4.p1	Spodoptera|XP_050553385.1	30.909	55	37	1	61	114	144	594	648	1346	0.039	25.8
TRINITY_DN7866_c0_g2_i4.p1	Spodoptera|XP_035436720.2	26.744	86	49	4	45	120	144	30	111	335	0.92	21.6
TRINITY_DN1110_c0_g3_i1.p1	Spodoptera|XP_050554451.1	33.333	45	25	2	62	106	119	256	295	516	0.053	25.0
TRINITY_DN1110_c0_g3_i1.p1	Bmori|NP_001243957.1	35.714	28	18	0	62	89	119	255	282	515	0.11	23.9
TRINITY_DN1110_c0_g3_i1.p1	Spodoptera|XP_035455002.2	30.357	56	28	3	62	117	119	260	304	521	0.18	23.5
