TRINITY_DN1282_c1_g2_i1.p1	ref|XP_037872720.1|	63.692	325	114	2	3	325	2	324	6.42e-150	424	98	sulfotransferase 1 family member D1 [Bombyx mori]
TRINITY_DN13428_c0_g1_i1.p1	ref|XP_004930400.2|	60.534	337	132	1	5	340	6	342	6.33e-148	421	98	sulfotransferase 1C4 isoform X1 [Bombyx mori]
TRINITY_DN13428_c0_g2_i1.p1	ref|XP_004930400.2|	76.106	339	81	0	5	343	6	344	0.0	540	98	sulfotransferase 1C4 isoform X1 [Bombyx mori]
TRINITY_DN18563_c0_g1_i1.p1	ref|XP_004930400.2|	55.804	224	94	2	1	223	68	287	5.54e-73	225	98	sulfotransferase 1C4 isoform X1 [Bombyx mori]
TRINITY_DN1884_c0_g1_i17.p1	ref|XP_012551199.2|	67.359	337	107	1	1	334	5	341	3.79e-172	482	97	sulfotransferase isoform X1 [Bombyx mori]
TRINITY_DN260_c1_g1_i12.p1	ref|XP_004930400.2|	54.651	344	147	3	10	352	9	344	9.85e-120	350	97	sulfotransferase 1C4 isoform X1 [Bombyx mori]
TRINITY_DN275_c0_g1_i16.p1	ref|XP_012552268.1|	89.493	276	29	0	40	315	35	310	0.0	509	84	protein-tyrosine sulfotransferase [Bombyx mori]
TRINITY_DN27959_c0_g1_i2.p1	ref|XP_004931534.1|	86.079	431	56	2	1	427	1	431	0.0	772	99	heparan sulfate 2-O-sulfotransferase pipe [Bombyx mori]
TRINITY_DN5927_c0_g1_i3.p1	ref|XP_004930400.2|	59.896	192	76	1	1	191	153	344	6.53e-74	226	98	sulfotransferase 1C4 isoform X1 [Bombyx mori]
TRINITY_DN5949_c0_g1_i3.p1	ref|XP_004930400.2|	52.353	170	73	4	10	178	9	171	1.11e-40	140	95	sulfotransferase 1C4 isoform X1 [Bombyx mori]
TRINITY_DN659_c1_g1_i4.p1	ref|XP_062526413.1|	56.250	96	41	1	1	95	144	239	1.32e-29	109	62	luciferin sulfotransferase isoform X3 [Bombyx mori]
