TRINITY_DN1124_c0_g1_i10.p1	XP_050553324.1	82.704	1272	208	4	2	1272	41	1301	0.0	2158	99	XP_050553324.1 ATP-dependent translocase ABCB1 [Spodoptera frugiperda]
TRINITY_DN1142_c1_g1_i12.p1	XP_050555160.1	93.020	745	50	2	1	745	1	743	0.0	1454	98	XP_050555160.1 ATP-binding cassette sub-family D member [Spodoptera frugiperda]
TRINITY_DN11606_c0_g1_i6.p1	XP_050551035.1	60.977	1576	527	13	1	1499	1	1565	0.0	1912	99	XP_050551035.1 phospholipid-transporting ATPase ABCA3 [Spodoptera frugiperda]
TRINITY_DN11773_c0_g1_i7.p1	XP_035459161.2	88.252	715	84	0	20	734	1	715	0.0	1244	93	XP_035459161.2 iron-sulfur clusters transporter ABCB7, mitochondrial isoform X1 [Spodoptera frugiperda]
TRINITY_DN12134_c0_g1_i3.p1	XP_035429563.2	96.341	1394	51	0	1	1394	1	1394	0.0	2805	99	XP_035429563.2 ATP-binding cassette sub-family C member 4 isoform X1 [Spodoptera frugiperda]
TRINITY_DN12905_c0_g2_i1.p1	XP_035444891.1	90.764	628	58	0	1	628	1	628	0.0	1171	99	XP_035444891.1 ATP-binding cassette sub-family G member 1 [Spodoptera frugiperda]
TRINITY_DN1442_c0_g1_i7.p1	XP_035442104.1	96.478	795	26	2	1	794	1	794	0.0	1589	99	XP_035442104.1 ABC transporter G family member 20 isoform X1 [Spodoptera frugiperda]
TRINITY_DN16854_c0_g2_i2.p1	XP_050558210.1	78.532	545	117	0	1	545	777	1321	0.0	812	99	XP_050558210.1 multidrug resistance protein homolog 49 isoform X2 [Spodoptera frugiperda]
TRINITY_DN18075_c0_g1_i1.p1	XP_050557282.1	92.391	644	41	2	1	644	1	636	0.0	1216	99	XP_050557282.1 LOW QUALITY PROTEIN: ATP-binding cassette sub-family G member 5 [Spodoptera frugiperda]
TRINITY_DN18452_c0_g1_i1.p1	XP_035430840.1	90.701	1398	127	2	1	1398	1	1395	0.0	2598	99	XP_035430840.1 ATP-binding cassette sub-family C member 4 isoform X2 [Spodoptera frugiperda]
TRINITY_DN20355_c0_g1_i13.p1	XP_035436877.2	84.667	887	132	3	2	888	1	883	0.0	1570	99	XP_035436877.2 ATP-binding cassette sub-family C member Sur-like [Spodoptera frugiperda]
TRINITY_DN21667_c0_g1_i1.p1	XP_035448265.1	97.849	465	10	0	1	465	105	569	0.0	962	100	XP_035448265.1 cholesterol transporter ABCA5 isoform X2 [Spodoptera frugiperda]
TRINITY_DN2350_c0_g1_i14.p1	XP_050554172.1	92.025	790	63	0	1	790	1	790	0.0	1468	99	XP_050554172.1 ABC transporter G family member 20 [Spodoptera frugiperda]
TRINITY_DN254_c0_g1_i11.p1	XP_035433428.2	88.143	1594	188	1	1	1594	1	1593	0.0	2797	99	XP_035433428.2 uncharacterized protein LOC118264894 isoform X1 [Spodoptera frugiperda]
TRINITY_DN264_c0_g1_i11.p1	XP_035432453.1	78.263	1739	366	5	3	1738	1	1730	0.0	2828	99	XP_035432453.1 phospholipid-transporting ATPase ABCA1 [Spodoptera frugiperda]
TRINITY_DN30_c14_g1_i4.p1	XP_050557302.1	87.313	670	52	4	1	668	1	639	0.0	1180	99	XP_050557302.1 ATP-binding cassette sub-family D member 3 [Spodoptera frugiperda]
TRINITY_DN332_c0_g1_i5.p1	XP_035433541.1	95.415	698	31	1	1	697	1	698	0.0	1374	99	XP_035433541.1 ATP-binding cassette subfamily G member 4 isoform X1 [Spodoptera frugiperda]
TRINITY_DN33353_c0_g1_i3.p1	XP_035439505.2	89.988	839	83	1	1	839	1	838	0.0	1526	99	XP_035439505.2 ATP-binding cassette sub-family B member 6 [Spodoptera frugiperda]
TRINITY_DN33832_c0_g1_i10.p1	XP_035432403.2	87.353	1700	210	4	1	1696	1	1699	0.0	3108	99	XP_035432403.2 LOW QUALITY PROTEIN: phospholipid-transporting ATPase ABCA1 [Spodoptera frugiperda]
TRINITY_DN4426_c0_g1_i3.p1	XP_035437183.1	86.827	706	90	2	1	706	1	703	0.0	1267	99	XP_035437183.1 ATP-binding cassette sub-family B member 10, mitochondrial [Spodoptera frugiperda]
TRINITY_DN4518_c0_g1_i1.p1	XP_035429631.1	90.682	1363	123	3	1	1361	1	1361	0.0	2513	99	XP_035429631.1 ATP-binding cassette sub-family C member 4 [Spodoptera frugiperda]
