TRINITY_DN10989_c0_g1_i3.p1	TRINITY_DN10989_c0_g1_i3	sp|P21440|MDR3_MOUSE	63.5	104	117	1276	1	104	1056	1159	1.87e-35	131	sp|P21440|MDR3_MOUSE Phosphatidylcholine translocator ABCB4 OS=Mus musculus OX=10090 GN=Abcb4 PE=1 SV=2
TRINITY_DN10989_c0_g1_i4.p1	TRINITY_DN10989_c0_g1_i4	sp|P21440|MDR3_MOUSE	69.6	161	170	1276	6	166	1106	1266	1.06e-67	226	sp|P21440|MDR3_MOUSE Phosphatidylcholine translocator ABCB4 OS=Mus musculus OX=10090 GN=Abcb4 PE=1 SV=2
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN10989_c0_g1_i5	sp|P06795|MDR1B_MOUSE	50.3	175	198	1276	23	197	986	1160	8.58e-49	173	sp|P06795|MDR1B_MOUSE ATP-dependent translocase ABCB1 OS=Mus musculus OX=10090 GN=Abcb1b PE=1 SV=1
TRINITY_DN1124_c0_g1_i1.p1	TRINITY_DN1124_c0_g1_i1	sp|P43245|MDR1_RAT	70.9	110	114	1277	2	111	1164	1273	4.45e-45	158	sp|P43245|MDR1_RAT ATP-dependent translocase ABCB1 OS=Rattus norvegicus OX=10116 GN=Abcb1 PE=2 SV=1
TRINITY_DN1124_c0_g1_i10.p1	TRINITY_DN1124_c0_g1_i10	sp|P21447|MDR1A_MOUSE	44.9	1238	1273	1276	52	1266	31	1266	0.0	1013	sp|P21447|MDR1A_MOUSE ATP-dependent translocase ABCB1 OS=Mus musculus OX=10090 GN=Abcb1a PE=1 SV=3
TRINITY_DN1124_c0_g1_i11.p1	TRINITY_DN1124_c0_g1_i11	sp|P43245|MDR1_RAT	70.9	110	114	1277	2	111	1164	1273	4.45e-45	158	sp|P43245|MDR1_RAT ATP-dependent translocase ABCB1 OS=Rattus norvegicus OX=10116 GN=Abcb1 PE=2 SV=1
TRINITY_DN1124_c0_g1_i12.p1	TRINITY_DN1124_c0_g1_i12	sp|P43245|MDR1_RAT	70.9	110	114	1277	2	111	1164	1273	4.45e-45	158	sp|P43245|MDR1_RAT ATP-dependent translocase ABCB1 OS=Rattus norvegicus OX=10116 GN=Abcb1 PE=2 SV=1
TRINITY_DN1124_c0_g1_i16.p1	TRINITY_DN1124_c0_g1_i16	sp|P43245|MDR1_RAT	70.9	110	114	1277	2	111	1164	1273	4.45e-45	158	sp|P43245|MDR1_RAT ATP-dependent translocase ABCB1 OS=Rattus norvegicus OX=10116 GN=Abcb1 PE=2 SV=1
TRINITY_DN1142_c1_g1_i1.p1	TRINITY_DN1142_c1_g1_i1	sp|Q7JUN3|ABCD1_DROME	59.9	638	655	730	2	626	103	721	9.42e-262	740	sp|Q7JUN3|ABCD1_DROME ATP-binding cassette sub-family D member 1 OS=Drosophila melanogaster OX=7227 GN=Abcd1 PE=2 SV=1
TRINITY_DN1142_c1_g1_i12.p1	TRINITY_DN1142_c1_g1_i12	sp|Q7JUN3|ABCD1_DROME	59.9	638	764	730	111	735	103	721	1.73e-260	741	sp|Q7JUN3|ABCD1_DROME ATP-binding cassette sub-family D member 1 OS=Drosophila melanogaster OX=7227 GN=Abcd1 PE=2 SV=1
TRINITY_DN1142_c1_g1_i13.p1	TRINITY_DN1142_c1_g1_i13	sp|Q7JUN3|ABCD1_DROME	59.9	638	764	730	111	735	103	721	1.73e-260	741	sp|Q7JUN3|ABCD1_DROME ATP-binding cassette sub-family D member 1 OS=Drosophila melanogaster OX=7227 GN=Abcd1 PE=2 SV=1
TRINITY_DN11606_c0_g1_i2.p1	TRINITY_DN11606_c0_g1_i2	sp|A0A0G2K1Q8|ABCA3_RAT	28.9	1517	1434	1704	1	1423	240	1693	1.89e-159	528	sp|A0A0G2K1Q8|ABCA3_RAT Phospholipid-transporting ATPase ABCA3 OS=Rattus norvegicus OX=10116 GN=Abca3 PE=1 SV=1
TRINITY_DN11606_c0_g1_i3.p1	TRINITY_DN11606_c0_g1_i3	sp|A0A0G2K1Q8|ABCA3_RAT	28.7	1545	1457	1704	1	1446	212	1693	8.34e-160	529	sp|A0A0G2K1Q8|ABCA3_RAT Phospholipid-transporting ATPase ABCA3 OS=Rattus norvegicus OX=10116 GN=Abca3 PE=1 SV=1
TRINITY_DN11606_c0_g1_i6.p1	TRINITY_DN11606_c0_g1_i6	sp|A0A0G2K1Q8|ABCA3_RAT	27.7	1752	1641	1704	4	1630	5	1693	1.14e-165	550	sp|A0A0G2K1Q8|ABCA3_RAT Phospholipid-transporting ATPase ABCA3 OS=Rattus norvegicus OX=10116 GN=Abca3 PE=1 SV=1
TRINITY_DN11606_c0_g1_i8.p1	TRINITY_DN11606_c0_g1_i8	sp|A0A0G2K1Q8|ABCA3_RAT	28.9	1517	1434	1704	1	1423	240	1693	1.89e-159	528	sp|A0A0G2K1Q8|ABCA3_RAT Phospholipid-transporting ATPase ABCA3 OS=Rattus norvegicus OX=10116 GN=Abca3 PE=1 SV=1
TRINITY_DN11606_c0_g1_i9.p1	TRINITY_DN11606_c0_g1_i9	sp|A0A0G2K1Q8|ABCA3_RAT	28.9	1517	1434	1704	1	1423	240	1693	1.37e-159	528	sp|A0A0G2K1Q8|ABCA3_RAT Phospholipid-transporting ATPase ABCA3 OS=Rattus norvegicus OX=10116 GN=Abca3 PE=1 SV=1
TRINITY_DN11773_c0_g1_i2.p1	TRINITY_DN11773_c0_g1_i2	sp|H2LNR5|ABCB7_ORYLA	60.7	596	637	746	4	599	114	704	2.39e-251	713	sp|H2LNR5|ABCB7_ORYLA Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Oryzias latipes OX=8090 GN=abcb7 PE=1 SV=2
TRINITY_DN11773_c0_g1_i3.p1	TRINITY_DN11773_c0_g1_i3	sp|H2LNR5|ABCB7_ORYLA	60.3	604	644	746	8	611	106	704	7.66e-252	715	sp|H2LNR5|ABCB7_ORYLA Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Oryzias latipes OX=8090 GN=abcb7 PE=1 SV=2
TRINITY_DN11773_c0_g1_i7.p1	TRINITY_DN11773_c0_g1_i7	sp|H2LNR5|ABCB7_ORYLA	59.2	627	768	746	110	735	85	704	4.13e-251	718	sp|H2LNR5|ABCB7_ORYLA Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Oryzias latipes OX=8090 GN=abcb7 PE=1 SV=2
